"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0267431",1.8514935024292,2.61023049634765,1.95724361937783,1.33362575333232,0.182326538498147,NA
"FBgn0010247",538.69074830488,0.246631315775675,0.1953399989222,1.26257457323886,0.206742110525931,0.528749981835701
"FBgn0086378",677.954223726828,0.155060021372553,0.198667788435779,0.780499056205467,0.435097182846436,0.742610683304437
"FBgn0263977",1191.55465518694,0.220968239889413,0.134001222602509,1.64900167026741,0.0991472925292265,0.345142654181642
"FBgn0069923",20.4183541815756,0.836151327518403,0.517289477207213,1.61640892452073,0.106005930091541,0.358901620061995
"FBgn0039955",741.980819634147,-0.154878735261945,0.147712384310086,-1.0485155729178,0.294401131206285,0.6234653011526
"FBgn0259821",256.591696518922,1.08328306261294,0.166326421009399,6.51299448421201,7.36672166110794e-11,3.33557402371114e-09
"FBgn0027341",17.1787110014076,0.499355485125272,0.550681650910465,0.906795213349976,0.364515101623058,0.688892806316265
"FBgn0085812",1.7313456690362,-0.381984960914998,1.77480206096347,-0.215226795887105,0.829590500340252,NA
"FBgn0058198",50.357272172917,-0.387725455707527,0.324849035847504,-1.1935558149218,0.232651766647258,0.559235302728796
"FBgn0037213",778.17647695425,0.464901834662146,0.137312892153252,3.38571147524354,0.000709939843585148,0.00836659243063428
"FBgn0053294",86.621065670828,-0.0309633782609527,0.305002339797432,-0.101518494190953,0.91913887715999,0.973214809474746
"FBgn0000500",5.37838865146512,1.02001033869854,0.955830760066852,1.06714533713814,0.285906211858633,NA
"FBgn0037215",7195.2309451504,-0.219319528044507,0.0906604990963917,-2.41912994336512,0.0155576814798855,0.0974087375453123
"FBgn0037217",75.3413941758847,-0.24041589911806,0.267728798031582,-0.897982962182872,0.369194632874814,0.692748622059158
"FBgn0037218",3162.11896353187,-0.0382192160981582,0.0942906758090468,-0.405333992679807,0.685232023066669,0.885306358052356
"FBgn0051516",23.8305480940551,-0.155336110706021,0.452712345320177,-0.343123204639275,0.731505774870245,0.90729625317351
"FBgn0261436",1092.24736688999,-0.0991905461487542,0.110037734183333,-0.901423015340299,0.367363448890854,0.691559682890157
"FBgn0037220",2217.83697635049,-0.0945483021573506,0.0978722073835936,-0.966038313479378,0.334025009743884,0.663307274716525
"FBgn0015331",1245.35719193134,-0.0185929333497059,0.105827198852665,-0.175691443705237,0.860536357678626,0.95449610924224
"FBgn0010225",19203.8327591978,-0.511990842077623,0.0871984174119543,-5.87156117362553,4.31710234923029e-09,1.55397621382545e-07
"FBgn0037222",460.526189891008,-0.662730205622218,0.157467149558291,-4.20868865335553,2.56857025668818e-05,0.000474193345886017
"FBgn0085334",75.018077782482,-1.232465206661,0.373280882658075,-3.30170995601168,0.000960973843306543,0.0107335896971331
"FBgn0037223",37.0078320042312,-2.08708637649656,0.413687567636522,-5.04507879804195,4.53334501271474e-07,1.25807635949629e-05
"FBgn0037224",4.46814438304834,-2.04208955010795,1.1685315800488,-1.74756898741467,0.0805386893719547,NA
"FBgn0037225",113.216995654926,0.199116448122008,0.233445536170099,0.852946050666493,0.39368922256826,0.711779075347793
"FBgn0250821",76.5352798291708,0.0950552155058921,0.283585514406492,0.335190659173232,0.737481267786769,0.908646253470116
